46 ('Data Citation ', 'Data Type Registries ')
4 ('Data Versioning ', 'Empirical Humanities Metadata Working Group\n')
4 ('Data Usage Metrics ', 'Storage Service Definitions ')
4 ('Data Usage Metrics ', 'RDA / TD')
4 ('Data Usage Metrics ', 'Persistent Identification of Instruments\n')
4 ('Data Usage Metrics ', 'On-Farm Data Sharing (OFDS) ')
4 ('Data Usage Metrics ', 'Exposing Data Management Plans ')
4 ('Data Usage Metrics ', 'Empirical Humanities Metadata Working Group\n')
4 ('Data Type Registries ', 'Fisheries Data Interoperability ')
4 ('Data Security and Trust ', 'Wheat Data Interoperability ')
4 ('Data Security and Trust ', 'Provenance Patterns ')
4 ('Data Security and Trust ', 'On-Farm Data Sharing (OFDS) ')
4 ('Data Description Registry Interoperability (DDRI) ', 'Rice Data Interoperability ')
4 ('Data Description Registry Interoperability (DDRI) ', 'Persistent Identification of Instruments\n')
4 ('Data Description Registry Interoperability (DDRI) ', 'PID Kernel Information ')
4 ('DMP Common Standards ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
4 ('DMP Common Standards ', 'RDA / TD')
4 ('DMP Common Standards ', 'Empirical Humanities Metadata Working Group\n')
4 ('Capacity Development for Agriculture Data ', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('Capacity Development for Agriculture Data ', 'Metadata Standards Catalog ')
4 ('Capacity Development for Agriculture Data ', 'Data Citation ')
4 ('Brokering Framework Working Group\n', 'Storage Service Definitions ')
4 ('Brokering Framework Working Group\n', 'International Materials Resource Registries ')
4 ('Brokering Framework Working Group\n', 'Fisheries Data Interoperability ')
4 ('Brokering Framework Working Group\n', 'Exposing Data Management Plans ')
4 ('Brokering Framework Working Group\n', 'Empirical Humanities Metadata Working Group\n')
4 ('Brokering Framework Working Group\n', 'Data Security and Trust ')
4 ('Brokering Framework Working Group\n', 'DMP Common Standards ')
4 ('Blockchain Applications in Health ', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('Blockchain Applications in Health ', 'RDA / TD')
4 ('Blockchain Applications in Health ', 'Fisheries Data Interoperability ')
4 ('Blockchain Applications in Health ', 'Data Versioning ')
4 ('Array Database Assessment ', 'Wheat Data Interoperability ')
4 ('Array Database Assessment ', 'RDA/WDS Publishing Data Workflows ')
4 ('Array Database Assessment ', 'Persistent Identification of Instruments\n')
4 ('Agrisemantics ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
4 ('Agrisemantics ', 'Blockchain Applications in Health ')
3 ('WDS/RDA Assessment of Data Fitness for Use ', 'Wheat Data Interoperability ')
3 ('Storage Service Definitions ', 'Wheat Data Interoperability ')
3 ('Rice Data Interoperability ', 'WDS/RDA Assessment of Data Fitness for Use ')
3 ('RDA/WDS Scholarly Link Exchange (Scholix) ', 'Storage Service Definitions ')
3 ('RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ', 'Storage Service Definitions ')
3 ('RDA / TD', 'Storage Service Definitions ')
3 ('RDA / TD', 'Rice Data Interoperability ')
3 ('Provenance Patterns ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
3 ('Persistent Identification of Instruments\n', 'WDS/RDA Assessment of Data Fitness for Use ')
3 ('On-Farm Data Sharing (OFDS) ', 'Storage Service Definitions ')
3 ('Metadata Standards Catalog ', 'PID Kernel Information ')
3 ('International Materials Resource Registries ', 'Wheat Data Interoperability ')
3 ('International Materials Resource Registries ', 'WDS/RDA Assessment of Data Fitness for Use ')
3 ('International Materials Resource Registries ', 'Storage Service Definitions ')
3 ('International Materials Resource Registries ', 'Rice Data Interoperability ')
3 ('International Materials Resource Registries ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
3 ('International Materials Resource Registries ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
3 ('Fisheries Data Interoperability ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
3 ('Exposing Data Management Plans ', 'Storage Service Definitions ')
3 ('Exposing Data Management Plans ', 'Rice Data Interoperability ')
3 ('Exposing Data Management Plans ', 'International Materials Resource Registries ')
3 ('Empirical Humanities Metadata Working Group\n', 'PID Kernel Information ')
3 ('Empirical Humanities Metadata Working Group\n', 'On-Farm Data Sharing (OFDS) ')
3 ('Empirical Humanities Metadata Working Group\n', 'Fisheries Data Interoperability ')
3 ('Data Versioning ', 'Wheat Data Interoperability ')
3 ('Data Versioning ', 'Rice Data Interoperability ')
3 ('Data Versioning ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
3 ('Data Usage Metrics ', 'Wheat Data Interoperability ')
